COM_CODE3,Company HMRC Ref,Month
844339900,18,2016-07-01
847340110,41,2016-07-01
870891200,21,2016-07-01
630612000,8,2016-07-01
420212990,13,2016-07-01
950450000,35,2016-07-01
293690000,27,2016-07-01
40221110,4,2016-07-01
845961900,6,2016-07-01
280490000,6,2016-07-01
282590850,3,2016-07-01
283329800,5,2016-07-01
731010000,14,2016-07-01
800120000,3,2016-07-01
800300000,5,2016-07-01
811010000,3,2016-07-01
950632000,13,2016-07-01
490110000,187,2016-07-01
490191000,119,2016-07-01
903180980,172,2016-07-01
711319000,211,2016-07-01
847141000,207,2016-07-01
847170500,103,2016-07-01
851718000,138,2016-07-01
841391000,237,2016-07-01
902680800,98,2016-07-01
870323110,18,2016-07-01
870323190,42,2016-07-01
870324100,51,2016-07-01
940540390,38,2016-07-01
870810900,110,2016-07-01
910121000,54,2016-07-01
391510000,61,2016-07-01
300320000,7,2016-07-01
300450000,45,2016-07-01
420500110,30,2016-07-01
410210900,8,2016-07-01
940120000,28,2016-07-01
900651000,4,2016-07-01
842390000,56,2016-07-01
840999000,332,2016-07-01
950691100,34,2016-07-01
950699900,119,2016-07-01
620433900,32,2016-07-01
121190860,20,2016-07-01
130219700,16,2016-07-01
151590110,3,2016-07-01
151590990,16,2016-07-01
293299000,22,2016-07-01
330190900,42,2016-07-01
330290900,46,2016-07-01
340213000,43,2016-07-01
722240900,15,2016-07-01
830130000,6,2016-07-01
741910000,5,2016-07-01
830210000,59,2016-07-01
870120900,55,2016-07-01
870190500,24,2016-07-01
870333900,22,2016-07-01
870422990,44,2016-07-01
871680000,27,2016-07-01
847990200,70,2016-07-01
961900810,4,2016-07-01
844832000,14,2016-07-01
902910000,33,2016-07-01
820110000,19,2016-07-01
841480730,6,2016-07-01
731590000,10,2016-07-01
851822000,53,2016-07-01
851840300,17,2016-07-01
851840800,55,2016-07-01
851981110,4,2016-07-01
851981310,4,2016-07-01
851981350,12,2016-07-01
852190000,75,2016-07-01
852290490,20,2016-07-01
852290800,42,2016-07-01
852791110,3,2016-07-01
852799000,26,2016-07-01
853690100,256,2016-07-01
491110100,91,2016-07-01
847149000,139,2016-07-01
847310900,41,2016-07-01
848610000,21,2016-07-01
852290410,8,2016-07-01
852851000,43,2016-07-01
400829000,32,2016-07-01
820510000,37,2016-07-01
841490000,185,2016-07-01
841583000,11,2016-07-01
841590000,83,2016-07-01
842131000,44,2016-07-01
842139200,93,2016-07-01
848490000,116,2016-07-01
901890840,363,2016-07-01
300590100,22,2016-07-01
330430000,68,2016-07-01
392010890,24,2016-07-01
392113100,24,2016-07-01
590691000,3,2016-07-01
640419900,44,2016-07-01
901890500,34,2016-07-01
620312000,3,2016-07-01
620342350,35,2016-07-01
392010230,12,2016-07-01
392610000,136,2016-07-01
844110100,7,2016-07-01
844319700,13,2016-07-01
844391990,45,2016-07-01
903082000,22,2016-07-01
903090200,21,2016-07-01
330590000,92,2016-07-01
960329800,19,2016-07-01
901890100,60,2016-07-01
590700000,19,2016-07-01
731290000,24,2016-07-01
853669900,164,2016-07-01
853690850,209,2016-07-01
853910000,30,2016-07-01
853929920,13,2016-07-01
853932900,13,2016-07-01
842839900,18,2016-01-01
490191000,127,2016-01-01
490900000,68,2016-01-01
732189000,6,2016-01-01
722300110,5,2016-01-01
722300190,10,2016-01-01
901819900,81,2016-01-01
902129000,13,2016-01-01
848140900,81,2016-01-01
732620000,24,2016-01-01
401110000,28,2016-01-01
520811100,5,2016-01-01
870829100,16,2016-01-01
870870500,28,2016-01-01
870870910,3,2016-01-01
870870990,28,2016-01-01
870894350,17,2016-01-01
846591900,3,2016-01-01
846592000,6,2016-01-01
300650000,22,2016-01-01
170490710,14,2016-01-01
690810000,3,2016-01-01
902620200,119,2016-01-01
852990650,46,2016-01-01
842290900,87,2016-01-01
843880990,21,2016-01-01
710813100,35,2016-01-01
902290000,47,2016-01-01
271312000,3,2016-01-01
381010000,16,2016-01-01
381190000,17,2016-01-01
681019000,4,2016-01-01
681091000,3,2016-01-01
721899110,3,2016-01-01
721899800,10,2016-01-01
740721100,7,2016-01-01
740911000,7,2016-01-01
741991000,16,2016-01-01
741999100,13,2016-01-01
741999900,55,2016-01-01
761699100,40,2016-01-01
846880000,13,2016-01-01
853540000,13,2016-01-01
847310110,188,2016-01-01
851770110,56,2016-01-01
851770900,172,2016-01-01
610910000,144,2016-01-01
611020100,40,2016-01-01
620199000,22,2016-01-01
580710900,25,2016-01-01
621510000,27,2016-01-01
711711000,57,2016-01-01
392010240,13,2016-01-01
481940000,25,2016-01-01
